subj_idx,rt,response,type,pre_Ne,pre_Pe
10,0.382,1,correct,1.858082944,2.747060218
10,0.468,0,correct,-3.517864492,-2.970840688
10,0.34,1,error,-16.40747484,-1.498727039
10,0.384,1,correct,2.895483011,4.843129144
10,0.33,1,correct,1.026924666,3.903382197
10,0.322,1,correct,0.784669566,-6.005286699
10,0.282,1,correct,5.481214841,7.590930592
10,0.344,1,correct,-3.513577433,-7.703677197
10,0.388,1,correct,2.70148034,4.083160797
10,0.356,0,correct,-0.564451322,1.950170663
10,0.398,1,error,-16.75960221,17.71537034
10,0.308,0,correct,5.452275991,10.47335476
10,0.322,1,error,8.649048645,-0.194801325
10,0.358,1,correct,6.092193549,10.01551322
10,0.336,0,correct,-1.02501502,-2.67156972
10,0.432,1,error,-3.38121893,-0.819212993
10,0.466,1,correct,3.174923143,7.888144954
10,0.394,1,correct,-2.332969904,2.983798905
10,0.388,1,correct,5.87617056,-1.730204518
10,0.486,1,correct,-3.680846244,0.001121291
10,0.432,1,correct,0.191488752,-0.558632071
10,0.492,1,correct,1.255657254,1.570716947
10,0.475,1,correct,1.308645585,-10.38705162
10,0.576,1,correct,-4.246307157,-5.792559498
10,0.522,1,correct,-0.725265232,-1.453362168
10,0.336,0,correct,1.291840284,-4.851274005
10,0.35,1,error,9.927564616,-3.343138757
10,0.416,1,correct,-0.025968395,-1.238431317
10,0.394,1,correct,3.306841869,-8.700769723
10,0.46,1,correct,-1.861910107,0.714058825
10,0.37,1,correct,-4.568300822,-7.373028846
10,0.39,1,correct,2.396353755,-1.735709674
10,0.414,1,correct,7.413980089,11.14133264
10,0.368,1,correct,-0.0474726,-4.332064119
10,0.22,0,correct,1.047410426,6.140580902
10,0.324,1,error,-12.21147288,4.429664039
10,0.376,0,correct,3.087111537,-3.608646695
10,0.394,0,error,3.914254796,-9.204626819
10,0.362,1,correct,2.527912444,-6.813617396
10,0.444,1,correct,1.444400719,3.189405802
10,0.358,1,correct,2.039485613,2.313385856
10,0.396,1,correct,1.983380313,4.172393922
10,0.458,1,correct,-1.89511815,-6.27789912
10,0.326,1,correct,-3.123333691,-4.15632373
10,0.46,1,correct,3.362350729,4.386930444
10,0.37,1,correct,1.300943495,2.735454592
10,0.422,1,correct,4.109183612,-0.188380375
10,0.456,1,correct,2.042883965,3.703623898
10,0.338,1,correct,0.339764532,2.387092709
10,0.452,1,correct,-2.232910444,-10.48289608
10,0.45,1,correct,0.546415752,-8.65215671
10,0.39,1,correct,0.820450123,4.945688601
10,0.388,1,correct,4.058831607,9.306462202
10,0.416,0,correct,0.377628898,1.619048333
10,0.472,1,error,-21.34868151,-5.643506696
10,0.432,1,correct,-0.827491549,1.601618447
10,0.384,1,correct,-7.385097029,-6.305750361
10,0.32,1,correct,1.043449165,-5.90535804
10,0.432,1,correct,1.369111256,0.018432179
10,0.28,1,correct,-1.817854478,-0.766198929
10,0.304,1,correct,2.251076292,-4.587702787
10,0.348,1,correct,3.976368303,-3.952914489
10,0.4,1,correct,-0.191121405,7.379519144
10,0.408,0,correct,-4.033260629,-2.96249045
10,0.426,1,error,-17.16784873,1.825793985
10,0.458,1,correct,1.329626068,-3.795386289
10,0.434,1,correct,2.060411185,-3.19166567
10,0.406,1,correct,-0.01340146,-4.541221378
10,0.384,1,correct,1.826110493,-4.024650854
10,0.604,1,correct,-1.629301026,-0.639035052
10,0.372,1,correct,2.69929729,3.139998966
10,0.476,1,correct,3.075832102,3.106706604
10,0.436,1,correct,0.552326047,-0.772881847
100,0.4,0,correct,-0.574937505,1.076607247
100,0.408,1,correct,-0.944455809,1.746650862
100,0.398,1,correct,-1.99206732,0.959822895
100,0.424,1,correct,-0.459718243,-7.985950735
100,0.418,1,correct,3.499241744,5.380544269
100,0.384,1,correct,3.897877185,0.77809331
100,0.544,1,correct,-0.303984055,-4.668616106
100,0.358,1,correct,-2.973915778,-12.10910243
100,0.318,1,correct,1.844715633,4.866966941
100,0.334,1,correct,0.193912043,-9.105810772
100,0.292,1,correct,1.657514566,4.198667326
100,0.398,1,correct,-1.586838631,1.731402365
100,0.334,1,correct,-1.331103772,-3.762261954
100,0.482,1,correct,2.659405639,7.023357081
100,0.464,1,correct,-0.271128712,-0.480095607
100,0.398,1,correct,-0.570709434,0.94104938
100,0.586,1,correct,-2.216489811,0.445786426
100,0.45,1,correct,-2.571350544,-10.6164325
100,0.462,1,correct,3.493981304,-3.478581147
100,0.442,1,correct,-2.815261711,0.936889467
100,0.366,1,correct,1.523789572,4.713128216
100,0.374,1,correct,2.937472415,4.16366082
100,0.336,1,correct,0.52429954,-3.184549202
100,0.346,1,correct,2.07608124,1.65258838
100,0.378,1,correct,-0.421313542,3.501021151
100,0.33,1,correct,7.51404971,22.33312576
100,0.326,1,correct,-0.269786407,1.353493431
100,0.334,1,correct,3.561319229,4.553337943
100,0.326,1,correct,2.225005799,-1.866933121
100,0.26,0,correct,1.159829651,2.628355765
100,0.484,1,error,-19.31476287,9.455358161
100,0.35,1,correct,-6.395168169,-1.566107083
100,0.502,1,correct,4.949528991,3.8662613
100,0.368,1,correct,-1.962532835,0.607356019
100,0.354,1,correct,3.801430715,6.959742648
100,0.322,1,correct,-3.711101673,-11.69153094
100,0.442,1,correct,3.208006885,-2.591229054
100,0.388,1,correct,-2.73464291,0.307963061
100,0.46,1,correct,1.523274845,-0.734490083
100,0.384,1,error,4.489021448,-13.06005851
100,0.32,1,correct,5.728400094,5.419999657
100,0.316,1,correct,0.452432206,1.358876364
100,0.604,1,correct,3.722311723,-0.660762198
100,0.518,1,correct,-3.972176254,-6.227421398
100,0.348,1,correct,-3.396967877,-12.01138087
100,0.582,1,correct,1.632438886,6.770250324
100,0.444,1,correct,0.139207773,3.299968362
100,0.526,1,correct,0.091778595,0.253530872
100,0.366,0,correct,1.863072772,-4.874843719
100,0.646,1,error,-22.95418467,0.160768389
100,0.382,1,correct,-4.077703347,-2.922190941
100,0.338,1,correct,3.298680178,3.801029176
100,0.464,1,correct,-0.041109669,2.36463496
100,0.398,1,correct,-2.480704849,0.338280766
100,0.348,1,correct,-0.194843799,-8.768446771
100,0.4,1,correct,-1.234426448,1.917400698
100,0.33,1,correct,0.354401455,-2.427147469
100,0.386,1,correct,3.524048156,-1.396363234
100,0.466,1,correct,-0.729439339,-0.064498948
100,0.642,1,correct,1.707418956,-2.207979528
100,0.494,1,correct,-1.395681257,-1.173669304
100,0.606,1,correct,0.483137068,-3.535651128
100,0.336,1,correct,-0.384564155,0.927924729
100,0.498,1,correct,-0.165264435,-0.171149519
100,0.538,1,correct,-3.280208697,2.659685327
100,0.512,1,correct,-2.497732541,-1.905498478
100,0.498,1,correct,1.711278422,-3.689356435
100,0.418,1,correct,-1.11263724,6.365246321
100,0.496,1,correct,4.139214925,1.977260284
100,0.478,1,correct,-3.099397413,-1.904523013
100,0.37,1,correct,1.427840076,2.570190184
100,0.444,1,correct,-3.322940734,-1.691462978
100,0.41,1,correct,5.664220931,-1.617127148
100,0.494,1,correct,1.9327571,-4.409395196
100,0.607,1,correct,-0.61365245,-3.392110689
100,0.558,1,correct,-2.838347205,-7.617775652
100,0.638,1,correct,-3.221463818,0.942114888
100,0.566,1,correct,0.440776251,1.077152612
100,0.372,1,correct,-4.183491406,1.916270313
100,0.44,1,correct,-2.244627282,-8.789412656
100,0.496,1,correct,-1.263455297,-4.669069069
100,0.392,1,correct,0.772087143,-1.637694955
100,0.384,0,correct,0.782566323,0.348100236
100,0.442,1,error,-24.78066828,6.701934188
100,0.474,1,correct,-0.982627097,-3.788869554
100,0.486,1,correct,5.887085402,6.289940303
100,0.35,1,correct,2.712151486,3.3622562
100,0.39,1,correct,0.565352054,-3.156282359
100,0.406,1,correct,0.297229863,-4.392415042
100,0.432,1,correct,1.477763739,3.989439873
100,0.46,1,correct,3.10271853,-1.397498144
100,0.42,1,correct,2.454968674,5.091677843
100,0.42,1,correct,-0.020919634,-4.473232647
100,0.468,1,correct,1.697487188,-4.730387301
100,0.294,1,correct,4.202658098,6.24003122
100,0.338,1,correct,2.39008381,7.429882732
100,0.314,1,correct,-1.184642513,-1.421616124
100,0.298,0,correct,-0.13342891,-5.339984655
100,0.576,1,correct,-1.509597772,-0.832389441
100,0.53,1,correct,-1.029811305,3.829230609
100,0.418,1,correct,-4.091134235,-0.828008067
100,0.558,1,correct,2.42440068,-4.034745611
100,0.386,1,correct,-2.168438757,2.380612324
100,0.472,1,correct,2.60208387,-1.329461268
100,0.406,1,correct,0.888329095,3.845796761
100,0.364,1,correct,1.742219952,3.808776518
100,0.564,0,correct,3.816057755,4.711067316
100,0.422,1,error,-6.016314737,5.617470871
100,0.4,1,correct,0.759656014,1.476881133
100,0.402,1,correct,2.388694807,-5.349603163
100,0.494,1,correct,2.911849753,1.760191099
100,0.33,1,correct,6.589180449,-2.304928982
100,0.41,1,correct,-0.455886469,-0.443291244
100,0.308,1,correct,0.662660998,2.751087335
100,0.49,1,correct,-0.259622697,4.988595638
100,0.602,1,correct,-1.820520335,-4.288837681
100,0.382,1,correct,0.902831856,-3.28803542
100,0.334,1,correct,-1.727019998,2.2054484
100,0.36,1,correct,2.030838995,2.34774474
100,0.522,1,correct,2.712245191,-1.672565466
100,0.35,1,correct,0.551367888,-2.56811601
100,0.448,1,correct,-1.895637117,-8.787043917
100,0.328,1,correct,5.17292186,8.025049936
100,0.408,1,correct,2.685370847,4.334723886
100,0.482,1,correct,0.067961006,1.101264814
100,0.408,1,correct,3.617625525,0.014487781
100,0.492,1,correct,2.862684637,-4.184283128
100,0.394,1,correct,1.087454201,1.523125659
100,0.45,1,correct,2.043588729,-2.325527118
100,0.416,1,correct,-0.990981251,-5.0366214
100,0.472,1,correct,-1.730914292,-5.947479486
100,0.538,1,error,-5.625476848,3.561082043
